Plate No,Route,Source,Destination,Current Lat,Current Long,Next Waypoint 1,Next Waypoint 2,Speed,ETA to Next Stop,Status
GJ-01-HB-2871,38D,Ghuma,Nikol,23.058032,72.527029,"22.968105, 72.526985","22.976524, 72.488116",30 km/h,12 mins,Traffic
GJ-01-FN-1088,39A,Maninagar,Ghuma,22.976186,72.466846,"22.969886, 72.494544","23.109609, 72.483264",53 km/h,23 mins,Delayed
GJ-01-MS-7799,40A,Maninagar,Bhadaj,23.110767,72.623453,"23.024181, 72.638454","23.114538, 72.488970",54 km/h,6 mins,Delayed
GJ-01-JS-6195,41B,Maninagar,RTO,23.126249,72.479905,"22.963476, 72.542909","23.010615, 72.618026",15 km/h,3 mins,Delayed
GJ-01-WU-5312,42C,Maninagar,LD Engg,22.958738,72.639772,"23.022497, 72.573946","23.000462, 72.648794",34 km/h,24 mins,On Time
GJ-01-SG-9744,43,Maninagar,Vasna,22.986557,72.617461,"23.040150, 72.622798","23.082035, 72.566745",51 km/h,22 mins,Early
GJ-01-LB-8823,44B,Maninagar,RTO (C),23.017872,72.494353,"22.993926, 72.452244","23.109664, 72.575400",59 km/h,6 mins,On Time
GJ-01-IA-6419,45B,Maninagar,Lal Darwaja,23.067319,72.552162,"23.106432, 72.558999","23.117827, 72.495280",43 km/h,6 mins,Traffic
GJ-01-RC-1000,46C,Maninagar,Kalupur,22.968198,72.550769,"23.111734, 72.587785","23.093561, 72.490468",23 km/h,2 mins,Delayed
GJ-01-OR-2795,47C,Maninagar,Chandkheda,23.059657,72.549949,"23.115417, 72.510038","23.096823, 72.476753",47 km/h,3 mins,Delayed
GJ-01-XH-4407,48,Maninagar,Hanspura,23.03463,72.542236,"22.954038, 72.520642","23.142551, 72.628972",40 km/h,11 mins,Early
GJ-01-EH-6644,49C,Maninagar,Gota,23.074437,72.498367,"23.119897, 72.486173","23.006125, 72.480080",55 km/h,3 mins,Early
GJ-01-ZO-3717,50A,Maninagar,Ranip,23.044771,72.55761,"23.043578, 72.544105","23.053467, 72.467662",48 km/h,23 mins,On Time
GJ-01-CU-5066,51D,Maninagar,Sarkhej,23.084367,72.561358,"22.972537, 72.504092","22.998569, 72.484693",57 km/h,18 mins,Early
GJ-01-LW-4050,52C,Maninagar,Iskcon,23.105013,72.468526,"22.964488, 72.497593","23.070228, 72.450237",36 km/h,4 mins,Early
GJ-01-BJ-0289,53D,Maninagar,Nehrunagar,23.122024,72.607342,"23.023783, 72.519039","23.104098, 72.498958",52 km/h,24 mins,On Time
GJ-01-EW-2086,54D,Maninagar,Sarangpur,23.109945,72.500172,"23.100078, 72.593473","23.018494, 72.501325",60 km/h,22 mins,Delayed
GJ-01-VD-2031,55,Maninagar,Vadaj,23.011033,72.571444,"23.122627, 72.482165","23.021011, 72.643055",27 km/h,14 mins,On Time
GJ-01-QO-6239,56C,Maninagar,Odhav,23.109651,72.46662,"23.009213, 72.501535","23.141037, 72.512556",18 km/h,23 mins,Delayed
GJ-01-EC-5337,57D,Maninagar,Sarthi,22.972036,72.484961,"23.126296, 72.628996","23.019540, 72.535009",44 km/h,11 mins,On Time
GJ-01-UE-4848,58C,Maninagar,Airport,23.025759,72.519417,"23.106841, 72.639131","23.102364, 72.596947",44 km/h,10 mins,On Time
GJ-01-SH-2716,59B,Maninagar,Amba Town,23.073916,72.514842,"23.014651, 72.555362","23.070347, 72.637989",39 km/h,11 mins,Delayed
GJ-01-VU-3540,60B,Maninagar,Dahegam,23.131356,72.580584,"22.956996, 72.455046","23.027672, 72.487320",25 km/h,18 mins,Traffic
GJ-01-EC-3541,61A,Maninagar,Bopal,22.961239,72.547427,"23.125017, 72.493037","23.096621, 72.610261",51 km/h,9 mins,On Time
GJ-01-HG-4699,62A,Maninagar,Ghatlodia,23.025771,72.527231,"23.021283, 72.450049","23.100627, 72.452791",16 km/h,9 mins,On Time
GJ-01-UY-8259,63D,Maninagar,Vaishnodevi,23.101389,72.544903,"23.104628, 72.630341","22.974937, 72.465310",36 km/h,21 mins,Delayed
GJ-01-WN-6535,64B,Maninagar,Science City,23.081564,72.586708,"23.064335, 72.596417","23.079896, 72.564160",56 km/h,25 mins,Delayed
GJ-01-BK-0188,65B,Maninagar,Memnagar,23.057124,72.605151,"23.033639, 72.481853","23.051823, 72.530101",20 km/h,9 mins,Early
GJ-01-RU-7796,66B,Maninagar,CTM,23.118323,72.459734,"23.060502, 72.637315","23.021616, 72.580708",38 km/h,15 mins,On Time
GJ-01-JH-9745,67A,Maninagar,Naroda,23.135953,72.554512,"23.027787, 72.578434","22.976773, 72.536664",26 km/h,3 mins,Delayed
GJ-01-PT-6304,68B,Maninagar,S. Bopal,23.028331,72.479696,"23.019730, 72.457037","23.010084, 72.555687",56 km/h,21 mins,Traffic
GJ-01-OC-6910,69C,Maninagar,Sabarmati,23.024017,72.6446,"23.122323, 72.539731","23.131586, 72.618925",28 km/h,7 mins,Early
GJ-01-WO-8885,70,Maninagar,Isanpur,23.124886,72.490759,"23.097210, 72.577315","23.031176, 72.523137",44 km/h,14 mins,On Time
GJ-01-ZI-9072,71D,Maninagar,Sola,23.031371,72.607171,"23.052688, 72.544174","22.992966, 72.585519",18 km/h,16 mins,Delayed
GJ-01-XK-8455,72D,Maninagar,Prahladnagar,23.121511,72.553152,"22.987154, 72.617290","22.995417, 72.556678",55 km/h,20 mins,On Time
GJ-01-YJ-5820,73B,Maninagar,Chandlodia,23.027129,72.4829,"23.099202, 72.601785","23.135765, 72.585769",42 km/h,4 mins,On Time
GJ-01-PV-5982,74A,Maninagar,Jaimangal,22.989269,72.500298,"23.140387, 72.493245","23.117763, 72.514641",20 km/h,4 mins,Delayed
GJ-01-UC-5974,75D,Maninagar,Narol,22.991118,72.540789,"22.988540, 72.608903","22.990360, 72.538922",39 km/h,21 mins,Early
GJ-01-GL-2266,76A,Maninagar,Nikol,22.96907,72.549157,"22.991334, 72.602121","22.961673, 72.555114",48 km/h,23 mins,Early
GJ-01-DJ-8933,77,Bhadaj,Ghuma,22.977539,72.538342,"23.075908, 72.496828","23.092181, 72.533496",35 km/h,12 mins,Traffic
GJ-01-ZA-8932,78C,Bhadaj,Maninagar,23.060832,72.615224,"23.124670, 72.522264","22.976753, 72.601669",59 km/h,8 mins,Traffic
GJ-01-FW-6490,79,Bhadaj,RTO,23.111419,72.575277,"22.951271, 72.465693","23.031314, 72.503535",47 km/h,15 mins,Traffic
GJ-01-VB-0038,80A,Bhadaj,LD Engg,23.006521,72.461458,"23.032515, 72.621771","23.096850, 72.482391",15 km/h,5 mins,Early
GJ-01-HO-1585,81C,Bhadaj,Vasna,22.961862,72.596614,"22.981978, 72.505936","23.015793, 72.536917",42 km/h,2 mins,Early
GJ-01-BT-0761,82B,Bhadaj,RTO (C),23.13876,72.471652,"23.141629, 72.609828","23.103260, 72.639430",33 km/h,3 mins,On Time
GJ-01-TU-1294,83A,Bhadaj,Lal Darwaja,23.102386,72.570683,"23.027616, 72.597697","22.952614, 72.595498",40 km/h,11 mins,Delayed
GJ-01-RI-4670,84C,Bhadaj,Kalupur,23.080198,72.619505,"23.084174, 72.573046","23.040811, 72.569647",32 km/h,20 mins,Delayed
GJ-01-SY-8106,85D,Bhadaj,Chandkheda,23.106575,72.478503,"23.116827, 72.626418","23.022819, 72.521564",34 km/h,12 mins,On Time
GJ-01-BH-0459,86,Bhadaj,Hanspura,23.100481,72.524678,"23.012330, 72.514902","23.018504, 72.496803",29 km/h,11 mins,Traffic
GJ-01-IK-0856,87B,Bhadaj,Gota,22.994502,72.464351,"23.050544, 72.547246","22.950243, 72.634510",36 km/h,2 mins,Traffic
GJ-01-NQ-7342,88D,Bhadaj,Ranip,23.036822,72.565324,"22.990497, 72.621819","23.122954, 72.451490",18 km/h,6 mins,Traffic
GJ-01-VZ-6619,89D,Bhadaj,Sarkhej,23.045217,72.615143,"23.086808, 72.530439","23.070952, 72.590291",20 km/h,19 mins,Traffic
GJ-01-MC-2511,90C,Bhadaj,Iskcon,23.082013,72.523719,"22.977322, 72.473287","23.089460, 72.621264",36 km/h,11 mins,On Time
GJ-01-NV-2773,91D,Bhadaj,Nehrunagar,23.144469,72.560435,"23.025355, 72.472269","23.011708, 72.493365",37 km/h,9 mins,On Time
GJ-01-CP-0631,92,Bhadaj,Sarangpur,23.118311,72.54231,"22.981183, 72.495713","23.084765, 72.636574",35 km/h,2 mins,Delayed
GJ-01-JJ-7460,93,Bhadaj,Vadaj,23.094388,72.600564,"23.076123, 72.539621","23.040904, 72.567466",24 km/h,17 mins,Early
GJ-01-LZ-1743,94B,Bhadaj,Odhav,23.032601,72.51895,"23.099751, 72.583548","23.041242, 72.501765",40 km/h,5 mins,Delayed
GJ-01-XF-8721,95C,Bhadaj,Sarthi,22.95292,72.486776,"22.960268, 72.473953","23.049035, 72.598686",21 km/h,25 mins,Traffic
GJ-01-UC-6074,96,Bhadaj,Airport,22.99299,72.639576,"23.010912, 72.567477","23.064358, 72.473647",40 km/h,19 mins,Traffic
GJ-01-HW-0220,97A,Bhadaj,Amba Town,23.032802,72.565747,"22.994130, 72.467597","23.028498, 72.497550",43 km/h,16 mins,Early
GJ-01-PM-7128,98D,Bhadaj,Dahegam,23.048267,72.470418,"23.120800, 72.480624","23.017153, 72.461360",53 km/h,20 mins,Traffic
GJ-01-XD-6777,99C,Bhadaj,Bopal,23.114582,72.635138,"23.133185, 72.624439","23.125355, 72.451013",51 km/h,5 mins,Delayed
GJ-01-XX-9287,100D,Bhadaj,Ghatlodia,23.067609,72.60733,"22.956384, 72.512543","23.031419, 72.461577",32 km/h,19 mins,Traffic
GJ-01-NH-7087,101B,Bhadaj,Vaishnodevi,23.0887,72.548988,"23.049806, 72.552457","23.050894, 72.470496",20 km/h,18 mins,Traffic
GJ-01-OB-3860,102D,Bhadaj,Science City,23.031617,72.546894,"22.996703, 72.529814","22.961049, 72.512754",16 km/h,20 mins,Delayed
GJ-01-ON-5937,103D,Bhadaj,Memnagar,23.106854,72.461681,"22.999462, 72.573629","23.058505, 72.459379",49 km/h,3 mins,On Time
GJ-01-GX-9655,104,Bhadaj,CTM,23.036113,72.623117,"22.984057, 72.642626","23.013637, 72.612739",39 km/h,19 mins,On Time
GJ-01-RU-4105,105D,Bhadaj,Naroda,22.966549,72.634923,"23.072196, 72.568192","23.008103, 72.625170",50 km/h,6 mins,Early
GJ-01-SC-3148,106B,Bhadaj,S. Bopal,23.065012,72.562904,"23.069501, 72.460358","23.124148, 72.461758",37 km/h,15 mins,On Time
GJ-01-UU-6049,107,Bhadaj,Sabarmati,23.007398,72.596179,"23.023605, 72.573482","23.072712, 72.556223",37 km/h,20 mins,On Time
GJ-01-LG-6867,108,Bhadaj,Isanpur,23.142681,72.643636,"23.123447, 72.450256","23.079343, 72.528439",42 km/h,16 mins,Delayed
GJ-01-KL-4294,109D,Bhadaj,Sola,23.020688,72.455877,"23.078439, 72.565150","23.014893, 72.566030",59 km/h,13 mins,On Time
GJ-01-IV-1585,110B,Bhadaj,Prahladnagar,23.136497,72.62674,"23.087249, 72.505885","23.054236, 72.625437",49 km/h,4 mins,Traffic
GJ-01-SZ-7850,111A,Bhadaj,Chandlodia,22.951409,72.627229,"23.065880, 72.457422","22.983199, 72.647505",55 km/h,21 mins,Delayed
GJ-01-UR-0857,112C,Bhadaj,Jaimangal,22.968649,72.504061,"23.140777, 72.562554","22.991073, 72.538702",51 km/h,6 mins,Delayed
GJ-01-LO-5224,113C,Bhadaj,Narol,23.124196,72.458748,"23.025113, 72.516191","23.011018, 72.609457",58 km/h,20 mins,Traffic
GJ-01-XL-5877,114C,Bhadaj,Nikol,23.065675,72.595286,"23.097395, 72.540513","23.072046, 72.628696",32 km/h,9 mins,On Time
GJ-01-FO-4979,115D,RTO,Ghuma,23.037902,72.582359,"23.122491, 72.521903","23.115018, 72.455375",29 km/h,18 mins,On Time
GJ-01-CW-8467,116D,RTO,Maninagar,23.136741,72.633118,"23.042993, 72.624201","23.074851, 72.588322",38 km/h,18 mins,Delayed
GJ-01-KT-5542,117C,RTO,Bhadaj,23.088619,72.627022,"23.081494, 72.485691","22.955329, 72.588898",58 km/h,2 mins,On Time
GJ-01-FM-7269,118C,RTO,LD Engg,23.017047,72.598352,"22.976716, 72.577824","23.121972, 72.588958",55 km/h,16 mins,Traffic
GJ-01-MO-7407,119A,RTO,Vasna,23.047065,72.534562,"22.992035, 72.576188","23.077412, 72.530734",28 km/h,14 mins,Early
GJ-01-PP-9148,120,RTO,RTO (C),23.112193,72.454128,"23.063848, 72.530879","23.134267, 72.510062",30 km/h,10 mins,Traffic
GJ-01-BP-5093,121B,RTO,Lal Darwaja,23.038642,72.465042,"23.031912, 72.574928","23.021359, 72.554804",34 km/h,23 mins,Early
GJ-01-BS-8866,122B,RTO,Kalupur,23.040347,72.46991,"23.107818, 72.600267","23.053413, 72.499633",35 km/h,23 mins,Delayed
GJ-01-YS-6297,123C,RTO,Chandkheda,23.144694,72.541964,"22.952570, 72.494241","23.011610, 72.608280",18 km/h,14 mins,On Time
GJ-01-XW-7727,124A,RTO,Hanspura,23.129519,72.455587,"22.974332, 72.473160","22.981264, 72.637077",18 km/h,15 mins,Early
GJ-01-KP-3423,125B,RTO,Gota,23.018324,72.619121,"23.140527, 72.558297","23.057422, 72.593223",19 km/h,16 mins,Delayed
GJ-01-QU-0622,126C,RTO,Ranip,23.065231,72.488856,"23.026564, 72.628760","22.994128, 72.473690",40 km/h,18 mins,Delayed
GJ-01-EW-5241,127D,RTO,Sarkhej,23.015753,72.470156,"23.064207, 72.499141","22.963135, 72.545028",38 km/h,22 mins,Traffic
GJ-01-LX-7323,128A,RTO,Iskcon,23.039102,72.580859,"23.081441, 72.591399","22.978447, 72.502020",41 km/h,24 mins,Early
GJ-01-XG-3476,129B,RTO,Nehrunagar,23.118654,72.454134,"23.049484, 72.569994","23.089525, 72.566409",50 km/h,7 mins,Early
GJ-01-XP-7237,130,RTO,Sarangpur,22.987061,72.54905,"23.047570, 72.543871","23.075586, 72.506029",53 km/h,16 mins,Traffic
GJ-01-ZY-6037,131,RTO,Vadaj,23.021668,72.639978,"23.039378, 72.497387","23.034701, 72.487632",46 km/h,10 mins,On Time
GJ-01-MH-7525,132A,RTO,Odhav,22.959665,72.524185,"22.988497, 72.524181","23.055689, 72.571557",44 km/h,22 mins,Traffic
GJ-01-TV-6402,133B,RTO,Sarthi,22.997998,72.561734,"23.143674, 72.560153","23.064245, 72.614943",22 km/h,4 mins,On Time
GJ-01-SR-5305,134A,RTO,Airport,23.146307,72.576463,"22.958073, 72.520265","23.005579, 72.464957",53 km/h,22 mins,Early
GJ-01-XF-0911,135B,RTO,Amba Town,23.050006,72.523804,"23.002485, 72.637434","23.001918, 72.472722",26 km/h,15 mins,Delayed
GJ-01-VS-0934,136A,RTO,Dahegam,23.02077,72.48249,"23.097403, 72.548154","23.089951, 72.575913",25 km/h,10 mins,Delayed
GJ-01-CJ-9061,137D,RTO,Bopal,23.065636,72.624482,"22.985421, 72.536550","23.050827, 72.493293",51 km/h,6 mins,On Time
GJ-01-HF-8349,138C,RTO,Ghatlodia,23.099353,72.473531,"23.117815, 72.559351","22.963724, 72.506079",33 km/h,8 mins,Delayed
GJ-01-HI-1022,139,RTO,Vaishnodevi,23.059691,72.450263,"23.064871, 72.488655","23.036255, 72.565552",20 km/h,19 mins,Early
GJ-01-IN-9431,140D,RTO,Science City,22.996964,72.643133,"23.084459, 72.625525","22.965050, 72.521205",59 km/h,9 mins,Early
GJ-01-YB-0381,141,RTO,Memnagar,23.131432,72.642581,"23.044665, 72.516335","23.072449, 72.547661",42 km/h,25 mins,Early
GJ-01-NA-3283,142A,RTO,CTM,23.062688,72.581715,"23.128540, 72.532808","23.054840, 72.593274",34 km/h,5 mins,Early
GJ-01-ML-8011,143,RTO,Naroda,22.950673,72.642028,"23.057402, 72.574549","22.969266, 72.620093",55 km/h,7 mins,On Time
GJ-01-CH-9390,144A,RTO,S. Bopal,23.022953,72.622477,"23.132917, 72.601266","23.036220, 72.517010",34 km/h,8 mins,Delayed
GJ-01-SS-1948,145C,RTO,Sabarmati,22.970712,72.465248,"22.985579, 72.646054","22.984893, 72.484564",38 km/h,2 mins,Early
GJ-01-WC-8950,146D,RTO,Isanpur,23.02556,72.525476,"23.058281, 72.580958","23.093937, 72.608457",28 km/h,24 mins,Delayed
GJ-01-YD-3114,147D,RTO,Sola,23.0783,72.491197,"23.029847, 72.617354","23.085877, 72.536013",32 km/h,3 mins,Traffic
GJ-01-CF-6018,148D,RTO,Prahladnagar,23.058554,72.575211,"22.978513, 72.455625","23.084337, 72.464116",57 km/h,12 mins,Early
GJ-01-RX-3966,149D,RTO,Chandlodia,22.959949,72.519533,"23.080661, 72.632841","23.073763, 72.613936",41 km/h,14 mins,On Time
GJ-01-RK-6168,150,RTO,Jaimangal,22.993011,72.529819,"22.957118, 72.596741","23.028503, 72.505070",20 km/h,7 mins,On Time
GJ-01-SL-8079,151C,RTO,Narol,23.119306,72.606018,"23.028449, 72.588213","23.103178, 72.549049",31 km/h,9 mins,Early
GJ-01-DQ-3218,152B,RTO,Nikol,22.976997,72.547105,"23.092029, 72.645761","23.143021, 72.490687",22 km/h,13 mins,Traffic
GJ-01-ZM-2051,153A,LD Engg,Ghuma,22.990762,72.481838,"23.149041, 72.601894","23.057107, 72.573447",39 km/h,5 mins,Delayed
GJ-01-LV-1235,154C,LD Engg,Maninagar,23.146503,72.534513,"23.149950, 72.601018","23.058321, 72.582098",59 km/h,16 mins,On Time
GJ-01-EV-0500,155B,LD Engg,Bhadaj,23.01902,72.646426,"23.107258, 72.618013","22.958783, 72.537317",59 km/h,16 mins,On Time
GJ-01-OS-8092,156D,LD Engg,RTO,22.984669,72.54408,"23.097761, 72.552130","23.125514, 72.609879",45 km/h,13 mins,Traffic
GJ-01-HQ-2018,157D,LD Engg,Vasna,22.975122,72.550538,"23.008264, 72.531054","23.124667, 72.503297",17 km/h,13 mins,Early
GJ-01-RO-7552,158D,LD Engg,RTO (C),23.020896,72.454565,"23.132860, 72.649681","23.008839, 72.642884",25 km/h,2 mins,Traffic
GJ-01-NG-8469,159C,LD Engg,Lal Darwaja,23.128347,72.500169,"22.952188, 72.603804","22.976510, 72.619516",58 km/h,23 mins,Early
GJ-01-YP-6315,160D,LD Engg,Kalupur,23.058651,72.581802,"23.035898, 72.563038","23.101079, 72.647513",47 km/h,16 mins,Traffic
GJ-01-CZ-4756,161C,LD Engg,Chandkheda,23.113018,72.530409,"23.070315, 72.471464","23.041506, 72.603490",34 km/h,25 mins,Traffic
GJ-01-BE-7512,162D,LD Engg,Hanspura,23.008086,72.635547,"23.032530, 72.557480","23.108722, 72.600391",31 km/h,9 mins,Traffic
GJ-01-BT-9232,163B,LD Engg,Gota,23.13579,72.56115,"23.105695, 72.457445","23.119779, 72.559110",26 km/h,5 mins,Delayed
GJ-01-NW-2516,164C,LD Engg,Ranip,23.130347,72.504938,"23.032116, 72.636268","23.033925, 72.635384",54 km/h,11 mins,On Time
GJ-01-IM-2711,165B,LD Engg,Sarkhej,23.034643,72.517867,"23.098874, 72.639703","22.979630, 72.547965",28 km/h,5 mins,On Time
GJ-01-EZ-2679,166,LD Engg,Iskcon,23.070507,72.563658,"22.955769, 72.457627","22.989780, 72.497465",49 km/h,17 mins,On Time
GJ-01-AO-9931,167D,LD Engg,Nehrunagar,23.027285,72.56906,"22.971683, 72.482573","23.040215, 72.564667",15 km/h,11 mins,Traffic
GJ-01-ZM-0633,168A,LD Engg,Sarangpur,23.058898,72.645928,"23.145827, 72.477560","23.091746, 72.575822",46 km/h,7 mins,Delayed
GJ-01-YQ-9486,169A,LD Engg,Vadaj,23.047658,72.480573,"23.064206, 72.541993","23.078356, 72.454097",17 km/h,25 mins,Early
GJ-01-YG-3238,170C,LD Engg,Odhav,23.147534,72.451844,"22.968239, 72.506465","22.957705, 72.549462",32 km/h,3 mins,Traffic
GJ-01-UI-9867,171A,LD Engg,Sarthi,23.009455,72.527255,"23.130674, 72.591907","23.086038, 72.605895",27 km/h,3 mins,Early
GJ-01-XJ-5060,172A,LD Engg,Airport,23.005936,72.583552,"23.054149, 72.541120","23.094489, 72.450838",16 km/h,5 mins,Traffic
GJ-01-IZ-9816,173C,LD Engg,Amba Town,23.136828,72.592254,"22.965030, 72.586045","23.111298, 72.640343",52 km/h,8 mins,On Time
GJ-01-DS-4414,174C,LD Engg,Dahegam,23.058207,72.575943,"23.128632, 72.564469","23.061808, 72.572727",44 km/h,3 mins,Early
GJ-01-MV-8148,175D,LD Engg,Bopal,23.086697,72.486401,"23.018730, 72.581440","23.102411, 72.563759",51 km/h,20 mins,On Time
GJ-01-LM-3386,176A,LD Engg,Ghatlodia,23.091007,72.55104,"22.950572, 72.558878","23.029254, 72.542577",22 km/h,10 mins,Early
GJ-01-QQ-0173,177C,LD Engg,Vaishnodevi,23.132203,72.641914,"23.069719, 72.465926","23.036657, 72.550414",42 km/h,16 mins,Early
GJ-01-YF-6614,178A,LD Engg,Science City,22.991448,72.59863,"23.070452, 72.524849","23.102366, 72.504117",38 km/h,16 mins,Delayed
GJ-01-FO-4124,179B,LD Engg,Memnagar,22.976523,72.56672,"23.094943, 72.562380","23.107381, 72.592491",57 km/h,23 mins,Traffic
GJ-01-VL-5411,180C,LD Engg,CTM,23.109484,72.472709,"23.014590, 72.622920","22.984330, 72.541577",57 km/h,14 mins,Delayed
GJ-01-DD-8601,181,LD Engg,Naroda,22.970655,72.517154,"22.952653, 72.582016","23.119671, 72.581854",42 km/h,24 mins,On Time
GJ-01-FM-5764,182C,LD Engg,S. Bopal,23.110819,72.551254,"23.145563, 72.585293","23.104681, 72.632251",16 km/h,21 mins,Early
GJ-01-CR-1735,183,LD Engg,Sabarmati,23.147072,72.482742,"22.977906, 72.591726","23.051518, 72.475935",18 km/h,4 mins,Traffic
GJ-01-UO-5493,184A,LD Engg,Isanpur,22.955522,72.588656,"23.116815, 72.590083","23.008141, 72.468083",31 km/h,9 mins,On Time
